Log file started Fri Jan 07 18:21:57 2011
Fri Jan 07 18:21:57 2011: WSAStartup OK
Fri Jan 07 18:21:57 2011: Server's information: IP address: 192.168.1.2, port: 30004
Fri Jan 07 18:21:57 2011: No net interface given, using any interface available
Fri Jan 07 18:21:57 2011: No port defined, picking one for you
Fri Jan 07 18:21:57 2011: Opening UDP port = 4147
Fri Jan 07 18:21:57 2011: CArmyWar::Connect
Fri Jan 07 18:22:54 2011: LIBRARY: Client: got connect confirmation
Fri Jan 07 18:22:54 2011: LIBRARY: Client: adding a client
Fri Jan 07 18:22:54 2011: App: Client: Adding client with index 1
Fri Jan 07 18:22:54 2011: App: Client: Adding first client
Fri Jan 07 18:22:54 2011: App: Client: This one is local
Fri Jan 07 18:22:54 2011: Reading NONDELTAFRAME for client 1
Fri Jan 07 18:23:48 2011: Client 1: Read key 1
Fri Jan 07 18:23:49 2011: Client 1: Read key 0
Fri Jan 07 18:23:49 2011: Client 1: Read key 2
Fri Jan 07 18:23:49 2011: Client 1: Read key 4
Fri Jan 07 18:23:49 2011: Client 1: Read key 0
Fri Jan 07 18:23:53 2011: Client 1: Read key 2
Fri Jan 07 18:23:53 2011: Client 1: Read key 0
Fri Jan 07 18:23:53 2011: Client 1: Read key 1
Fri Jan 07 18:23:53 2011: Client 1: Read key 0
Fri Jan 07 18:23:57 2011: Client 1: Read key 1
Fri Jan 07 18:23:57 2011: Client 1: Read key 0
Fri Jan 07 18:23:58 2011: Client 1: Read key 4
Fri Jan 07 18:23:58 2011: Client 1: Read key 0
Fri Jan 07 18:23:58 2011: Client 1: Read key 8
Fri Jan 07 18:23:59 2011: Client 1: Read key 1
Fri Jan 07 18:24:00 2011: Client 1: Read key 5
Fri Jan 07 18:24:00 2011: Client 1: Read key 4
Fri Jan 07 18:24:01 2011: Client 1: Read key 6
Fri Jan 07 18:24:01 2011: Client 1: Read key 2
Fri Jan 07 18:24:01 2011: Client 1: Read key 0
Fri Jan 07 18:24:02 2011: Client 1: Read key 2
Fri Jan 07 18:24:02 2011: Client 1: Read key 8
Fri Jan 07 18:24:02 2011: Client 1: Read key 0
Fri Jan 07 18:24:09 2011: Client 1: Read key 8
Fri Jan 07 18:24:10 2011: Client 1: Read key 0
Fri Jan 07 18:24:10 2011: Client 1: Read key 4
Fri Jan 07 18:24:10 2011: Client 1: Read key 8
Fri Jan 07 18:24:11 2011: Client 1: Read key 4
Fri Jan 07 18:24:12 2011: Client 1: Read key 5
Fri Jan 07 18:24:12 2011: Client 1: Read key 1
Fri Jan 07 18:24:13 2011: Client 1: Read key 9
Fri Jan 07 18:24:13 2011: Client 1: Read key 8
Fri Jan 07 18:24:13 2011: Client 1: Read key 10
Fri Jan 07 18:24:13 2011: Client 1: Read key 2
Fri Jan 07 18:24:14 2011: Client 1: Read key 6
Fri Jan 07 18:24:15 2011: Client 1: Read key 4
Fri Jan 07 18:24:15 2011: Client 1: Read key 5
Fri Jan 07 18:24:15 2011: Client 1: Read key 4
Fri Jan 07 18:24:16 2011: Client 1: Read key 0
Fri Jan 07 18:24:20 2011: Client 1: Read key 4
Fri Jan 07 18:24:22 2011: Client 1: Read key 0
Fri Jan 07 18:24:24 2011: Client 1: Read key 4
Fri Jan 07 18:24:25 2011: Client 1: Read key 12
Fri Jan 07 18:24:25 2011: Client 1: Read key 8
Fri Jan 07 18:24:26 2011: Client 1: Read key 9
Fri Jan 07 18:24:26 2011: Client 1: Read key 8
Fri Jan 07 18:24:27 2011: Client 1: Read key 0
Fri Jan 07 18:24:28 2011: Client 1: Read key 8
Fri Jan 07 18:24:28 2011: Client 1: Read key 0
Fri Jan 07 18:24:29 2011: Client 1: Read key 4
Fri Jan 07 18:24:29 2011: Client 1: Read key 0
Fri Jan 07 18:24:31 2011: Client 1: Read key 1
Fri Jan 07 18:24:31 2011: Client 1: Read key 9
Fri Jan 07 18:24:32 2011: Client 1: Read key 8
Fri Jan 07 18:24:32 2011: Client 1: Read key 10
Fri Jan 07 18:24:32 2011: Client 1: Read key 2
Fri Jan 07 18:24:32 2011: Client 1: Read key 6
Fri Jan 07 18:24:33 2011: Client 1: Read key 14
Fri Jan 07 18:24:33 2011: Client 1: Read key 8
Fri Jan 07 18:24:33 2011: Client 1: Read key 0
Fri Jan 07 18:24:42 2011: LIBRARY: Client: adding a client
Fri Jan 07 18:24:42 2011: App: Client: Adding client with index 2
Fri Jan 07 18:24:42 2011: App: Client: Adding another client
Fri Jan 07 18:25:10 2011: Reading NONDELTAFRAME for client 1
Fri Jan 07 18:25:10 2011: Reading NONDELTAFRAME for client 2
Fri Jan 07 18:25:32 2011: Client 2: Read key 1
Fri Jan 07 18:25:32 2011: Client 2: Read key 0
Fri Jan 07 18:25:33 2011: Client 2: Read key 1
Fri Jan 07 18:25:33 2011: Client 2: Read key 0
Fri Jan 07 18:25:33 2011: Client 2: Read key 1
Fri Jan 07 18:25:34 2011: Client 2: Read key 0
Fri Jan 07 18:25:34 2011: Client 2: Read key 1
Fri Jan 07 18:25:35 2011: Client 2: Read key 0
Fri Jan 07 18:25:35 2011: Client 2: Read key 1
Fri Jan 07 18:25:35 2011: Client 2: Read key 0
Fri Jan 07 18:25:36 2011: Client 2: Read key 2
Fri Jan 07 18:25:37 2011: Client 2: Read key 0
Fri Jan 07 18:25:38 2011: Client 2: Read key 2
Fri Jan 07 18:25:38 2011: Client 2: Read key 6
Fri Jan 07 18:25:39 2011: Client 2: Read key 14
Fri Jan 07 18:25:39 2011: Client 2: Read key 10
Fri Jan 07 18:25:40 2011: Client 2: Read key 8
Fri Jan 07 18:25:40 2011: Client 2: Read key 9
Fri Jan 07 18:25:40 2011: Client 2: Read key 1
Fri Jan 07 18:25:40 2011: Client 2: Read key 5
Fri Jan 07 18:25:40 2011: Client 2: Read key 4
Fri Jan 07 18:25:41 2011: Client 2: Read key 6
Fri Jan 07 18:25:41 2011: Client 2: Read key 14
Fri Jan 07 18:25:42 2011: Client 2: Read key 10
Fri Jan 07 18:25:42 2011: Client 2: Read key 8
Fri Jan 07 18:25:43 2011: Client 2: Read key 9
Fri Jan 07 18:25:44 2011: Client 2: Read key 1
Fri Jan 07 18:25:44 2011: Client 2: Read key 5
Fri Jan 07 18:25:44 2011: Client 2: Read key 4
Fri Jan 07 18:25:44 2011: Client 2: Read key 5
Fri Jan 07 18:25:45 2011: Client 2: Read key 1
Fri Jan 07 18:25:46 2011: Client 2: Read key 2
Fri Jan 07 18:25:48 2011: Client 2: Read key 0
Fri Jan 07 18:25:48 2011: Client 2: Read key 1
Fri Jan 07 18:25:49 2011: Client 2: Read key 0
Fri Jan 07 18:25:49 2011: Client 2: Read key 2
Fri Jan 07 18:25:50 2011: Client 2: Read key 6
Fri Jan 07 18:25:50 2011: Client 2: Read key 4
Fri Jan 07 18:25:50 2011: Client 2: Read key 5
Fri Jan 07 18:25:51 2011: Client 2: Read key 1
Fri Jan 07 18:25:51 2011: Client 2: Read key 9
Fri Jan 07 18:25:51 2011: Client 2: Read key 1
Fri Jan 07 18:25:52 2011: Client 2: Read key 0
Fri Jan 07 18:25:54 2011: Client 2: Read key 2
Fri Jan 07 18:25:54 2011: Client 1: Read key 1
Fri Jan 07 18:25:54 2011: Client 1: Read key 5
Fri Jan 07 18:25:54 2011: Client 1: Read key 4
Fri Jan 07 18:25:54 2011: Client 1: Read key 12
Fri Jan 07 18:25:54 2011: Client 1: Read key 8
Fri Jan 07 18:25:55 2011: Client 2: Read key 6
Fri Jan 07 18:25:55 2011: Client 1: Read key 9
Fri Jan 07 18:25:55 2011: Client 2: Read key 8
Fri Jan 07 18:25:55 2011: Client 1: Read key 1
Fri Jan 07 18:25:55 2011: Client 1: Read key 4
Fri Jan 07 18:25:55 2011: Client 2: Read key 0
Fri Jan 07 18:25:55 2011: Client 1: Read key 6
Fri Jan 07 18:25:56 2011: Client 1: Read key 2
Fri Jan 07 18:25:56 2011: Client 1: Read key 10
Fri Jan 07 18:25:56 2011: Client 1: Read key 8
Fri Jan 07 18:25:57 2011: Client 1: Read key 10
Fri Jan 07 18:25:57 2011: Client 1: Read key 2
Fri Jan 07 18:25:57 2011: Client 1: Read key 10
Fri Jan 07 18:25:57 2011: Client 1: Read key 8
Fri Jan 07 18:25:58 2011: Client 1: Read key 9
Fri Jan 07 18:25:59 2011: Client 1: Read key 8
Fri Jan 07 18:26:00 2011: Client 1: Read key 10
Fri Jan 07 18:26:00 2011: Client 1: Read key 2
Fri Jan 07 18:26:00 2011: Client 1: Read key 6
Fri Jan 07 18:26:01 2011: Client 1: Read key 4
Fri Jan 07 18:26:01 2011: Client 1: Read key 0
Fri Jan 07 18:26:01 2011: Client 1: Read key 4
Fri Jan 07 18:26:02 2011: Client 1: Read key 0
Fri Jan 07 18:26:02 2011: Client 1: Read key 4
Fri Jan 07 18:26:02 2011: Client 1: Read key 0
Fri Jan 07 18:26:03 2011: Client 1: Read key 8
Fri Jan 07 18:26:04 2011: Client 1: Read key 0
Fri Jan 07 18:26:04 2011: Client 1: Read key 2
Fri Jan 07 18:26:04 2011: Client 1: Read key 6
Fri Jan 07 18:26:04 2011: Client 1: Read key 4
Fri Jan 07 18:26:05 2011: Client 1: Read key 5
Fri Jan 07 18:26:05 2011: Client 1: Read key 1
Fri Jan 07 18:26:05 2011: Client 1: Read key 5
Fri Jan 07 18:26:06 2011: Client 1: Read key 4
Fri Jan 07 18:26:06 2011: Client 1: Read key 6
Fri Jan 07 18:26:06 2011: Client 1: Read key 2
Fri Jan 07 18:26:07 2011: Client 1: Read key 4
Fri Jan 07 18:26:07 2011: Client 1: Read key 5
Fri Jan 07 18:26:09 2011: Client 1: Read key 4
Fri Jan 07 18:26:09 2011: Client 1: Read key 0
Fri Jan 07 18:26:09 2011: Client 1: Read key 8
Fri Jan 07 18:26:11 2011: Client 1: Read key 2
Fri Jan 07 18:26:11 2011: Client 1: Read key 10
Fri Jan 07 18:26:11 2011: Client 1: Read key 8
Fri Jan 07 18:26:12 2011: Client 1: Read key 10
Fri Jan 07 18:26:13 2011: Client 1: Read key 8
Fri Jan 07 18:26:13 2011: Client 1: Read key 9
