Log file started Wed Mar 02 00:29:38 2011
Wed Mar 02 00:29:38 2011: WSAStartup OK
Wed Mar 02 00:29:38 2011: Server's information: IP address: 127.0.0.1, port: 30004
Wed Mar 02 00:29:38 2011: No net interface given, using any interface available
Wed Mar 02 00:29:38 2011: No port defined, picking one for you
Wed Mar 02 00:29:38 2011: Opening UDP port = 4244
Wed Mar 02 00:29:38 2011: CArmyWar::Connect
Wed Mar 02 00:29:46 2011: LIBRARY: Client: got connect confirmation
Wed Mar 02 00:29:46 2011: LIBRARY: Client: adding a client
Wed Mar 02 00:29:46 2011: App: Client: Adding client with index 1
Wed Mar 02 00:29:46 2011: App: Client: Adding first client
Wed Mar 02 00:29:46 2011: App: Client: This one is local
Wed Mar 02 00:29:46 2011: Reading NONDELTAFRAME for client 1
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.y 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.x 0.000000: 
Wed Mar 02 00:29:46 2011: predictedOrigin.y 0.000000: 
Wed Mar 02 00:29:46 2011: transVector.x 0.000000: 
