Log file started Fri Jan 07 18:48:50 2011
Fri Jan 07 18:48:50 2011: WSAStartup OK
Fri Jan 07 18:48:50 2011: Initialising game
Fri Jan 07 18:48:50 2011: No net interface given, using any interface available
Fri Jan 07 18:48:50 2011: Opening UDP port = 30004
Fri Jan 07 18:48:56 2011: LIB: Adding client, index 1
Fri Jan 07 18:48:56 2011: LIB: Server: Adding first client
Fri Jan 07 18:48:56 2011: LIBRARY: Server: a client connected succesfully
Fri Jan 07 18:48:56 2011: App: Server: Adding first client
Fri Jan 07 18:49:18 2011: LIB: Adding client, index 2
Fri Jan 07 18:49:18 2011: LIB: Server: Adding another client
Fri Jan 07 18:49:18 2011: LIBRARY: Server: a client connected succesfully
Fri Jan 07 18:49:18 2011: App: Server: Adding another client
Fri Jan 07 18:49:35 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:36 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:36 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:37 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:37 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:37 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:41 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:49:41 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:41 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:49:42 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:43 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:43 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:44 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:44 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:45 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:45 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:45 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:46 2011: Client 1: read CMD_KEY (10)
Fri Jan 07 18:49:46 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:49:46 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:46 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:47 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:47 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:47 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:49:48 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:49:48 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:49:48 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:48 2011: Client 1: read CMD_KEY (10)
Fri Jan 07 18:49:49 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:49:49 2011: Client 1: read CMD_KEY (9)
Fri Jan 07 18:49:49 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:49 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:50 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:49:51 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:49:52 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:49:52 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:49:52 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:49:53 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:49:53 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:49:53 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:49:54 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:49:54 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:49:55 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:49:55 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:55 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:49:55 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:49:55 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:55 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:49:55 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:49:56 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:56 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (10)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:49:56 2011: Client 2: read CMD_KEY (9)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (9)
Fri Jan 07 18:49:56 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:56 2011: Client 2: read CMD_KEY (5)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:49:56 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (6)
Fri Jan 07 18:49:57 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (14)
Fri Jan 07 18:49:57 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (12)
Fri Jan 07 18:49:57 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:49:57 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:49:57 2011: Client 2: read CMD_KEY (9)
Fri Jan 07 18:49:57 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:49:58 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (5)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:49:58 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:49:58 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (6)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:49:58 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:49:58 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:49:58 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:49:59 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:49:59 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:49:59 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:50:00 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:50:00 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:50:00 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:50:01 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:50:01 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:50:01 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:01 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:50:02 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:10 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:50:11 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:11 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:50:11 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:11 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:50:12 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:12 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:50:13 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:13 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:50:13 2011: Client 1: read CMD_KEY (10)
Fri Jan 07 18:50:13 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:50:14 2011: Client 1: read CMD_KEY (9)
Fri Jan 07 18:50:14 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:50:14 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:50:14 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:50:15 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:50:15 2011: Client 1: read CMD_KEY (2)
Fri Jan 07 18:50:15 2011: Client 1: read CMD_KEY (10)
Fri Jan 07 18:50:15 2011: Client 1: read CMD_KEY (8)
Fri Jan 07 18:50:16 2011: Client 1: read CMD_KEY (0)
Fri Jan 07 18:50:17 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:50:17 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:50:17 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:50:18 2011: Client 2: read CMD_KEY (9)
Fri Jan 07 18:50:18 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:50:18 2011: Client 2: read CMD_KEY (0)
Fri Jan 07 18:50:19 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:50:19 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:50:19 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:50:20 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:50:20 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:50:20 2011: Client 2: read CMD_KEY (6)
Fri Jan 07 18:50:21 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:50:21 2011: Client 2: read CMD_KEY (5)
Fri Jan 07 18:50:22 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:50:23 2011: Client 2: read CMD_KEY (5)
Fri Jan 07 18:50:23 2011: Client 2: read CMD_KEY (13)
Fri Jan 07 18:50:23 2011: Client 2: read CMD_KEY (9)
